metric,npi,provider_full_name,specialty,state,city,peer_group_n,peer_n_metric,metric_value,modified_z_score
total_drug_cost,1649365529,RUSHDI ALUL,Emergency Medicine Physician,IL,Chicago,2986,1493,84134877.16000000,134510.383498056365
total_drug_cost,1578727327,LINDSAY WEAVER,Emergency Medicine Physician,IN,Indianapolis,1125,691,44773965.84000000,50241.063215516811
total_drug_cost,1457435760,SCOTT MURRAY,Emergency Medicine Physician,IA,Sioux City,481,250,24816436.51000000,35728.121595503639
total_drug_cost,1598712978,MICHAEL BAZEL,Emergency Medicine Physician,CA,Bell,6975,3707,24285393.33000000,30856.176550569841
total_drug_cost,1538169388,STEPHANIE HAN,Radiation Oncology Physician,TX,El Paso,385,175,53761887.93000000,30011.219914695513
total_drug_cost,1457394306,JUNG LEE,Surgery Physician,NY,Flushing,2171,656,9534232.57000000,16126.148291644201
total_drug_cost,1326495474,JANELLE DUAH,Student in an Organized Health Care Education/Training Program,CT,Bridgeport,6408,1206,24880205.17000000,15561.681029614689
total_drug_cost,1356534994,CEDRIC DAVIS,Hospitalist Physician,AZ,Parker,394,224,137027395.56000000,14545.108183150760
total_drug_cost,1073541546,JEREMY CUSHMAN,Emergency Medicine Physician,NY,Rochester,4319,1795,9169171.24000000,13387.509773184829
total_drug_cost,1164755872,JASON MCELYEA,Emergency Medicine Physician,OK,Mcalester,688,460,13991876.73000000,13126.708642418973
total_drug_cost,1598936726,KRIKOR TATOYAN,Surgery Physician,CA,Van Nuys,3327,1378,7466054.30000000,13043.889295749200
total_drug_cost,1841253705,MICHAEL STANFORD,Emergency Medicine Physician,AL,Trussville,664,396,27134926.14000000,12315.427771997914
total_drug_cost,1982863502,HOOMAN POOR,Student in an Organized Health Care Education/Training Program,NY,New York,43482,6379,20487649.77000000,11463.847141629887
total_drug_cost,1184063067,KEITH ROSENBERG,Emergency Medicine Physician,ME,Biddeford,423,218,6693361.44000000,10815.341849824507
total_drug_cost,1184891624,ANUJ VOHRA,Emergency Medicine Physician,NY,New Windsor,4319,1795,7367507.35000000,10756.816839459670
total_drug_cost,1265429617,JOHN BOGDASARIAN,Otolaryngology Physician,MA,Fitchburg,363,205,68683795.46000000,9508.341443169666
total_drug_cost,1679863658,ALEXANDER ENGELMAN,Radiation Oncology Physician,FL,Tampa,461,255,13062051.10000000,8946.814386187986
total_drug_cost,1669602710,SANDEEP SAHAY,Student in an Organized Health Care Education/Training Program,TX,Houston,22576,2979,26159084.64000000,8894.074210470996
total_drug_cost,1639189848,GEERTRUIDA KINTS,Emergency Medicine Physician,KY,Ashland,858,519,10041540.65000000,8868.833493655138
total_drug_cost,1699718031,ANNETTE WAGNER,Obstetrics & Gynecology Physician,PA,Wilkes Barre,1949,850,58159001.57000000,8494.674514288359
total_drug_cost,1912295429,NADINE REGIS,Student in an Organized Health Care Education/Training Program,NY,Bronx,43482,6379,14854563.43000000,8311.662950740858
total_drug_cost,1174518708,RICHARD MARASA,Emergency Medicine Physician,VT,Windsor,182,71,3804292.34000000,8108.829385907525
total_drug_cost,1700821063,SATISH SOLANKI,Emergency Medicine Physician,MI,Battle Creek,2654,1446,3872964.28000000,7789.408407777413
total_drug_cost,1558372086,GREGORY HEALEY,Emergency Medicine Physician,NY,Canton,4319,1795,5217667.81000000,7617.736504935706
total_drug_cost,1922088947,DANIEL SALTZSTEIN,Surgery Physician,TX,San Antonio,2473,1064,6096446.16000000,7490.522794219453
total_drug_cost,1831152701,PETER KINKEL,Neurological Surgery Physician,NY,Williamsville,494,101,4832774.05000000,7003.709064475579
total_drug_cost,1164450573,ALEXANDER FRANK,Emergency Medicine Physician,OK,Oklahoma City,688,460,7001279.11000000,6567.857488308527
total_drug_cost,1407872351,SERAFIN CHUA,Emergency Medicine Physician,IL,Chicago,2986,1493,3845576.43000000,6147.224043257721
total_drug_cost,1104846765,ASMAT ULLAH,Emergency Medicine Physician,NY,Brooklyn,4319,1795,4165468.78000000,6081.371943012079
total_drug_cost,1154543452,JOHN ANDERSON,Student in an Organized Health Care Education/Training Program,AL,Homewood,5675,762,12154111.97000000,4700.890593904758
total_drug_cost,1639372766,ABDULRAHEEM YACOUB,Student in an Organized Health Care Education/Training Program,KS,Westwood,1361,256,8673038.88000000,4604.299886692644
total_drug_cost,1467430900,RONALD CABLE,Emergency Medicine Physician,OK,Oklahoma City,688,460,4633202.00000000,4346.035245027125
total_drug_cost,1023065968,DOUGLAS STERN,Emergency Medicine Physician,PA,Mc Connellsburg,3616,1743,2446531.62000000,4274.105745343385
total_drug_cost,1326302712,AMER ISSA,Student in an Organized Health Care Education/Training Program,MI,Saginaw,10231,2109,6135278.93000000,4251.754859973899
total_drug_cost,1598812596,AMABLE AGUILUZ,Emergency Medical Services (Emergency Medicine) Physician,CA,Hawaiian Gardens,274,140,5121308.48000000,4175.955426893266
total_drug_cost,1386819753,BOGDAN DUMITRIU,Student in an Organized Health Care Education/Training Program,MD,Upper Marlboro,7249,977,5212067.53000000,3967.290608299378
total_drug_cost,1295771954,HON YUEN WONG,Emergency Medicine Physician,MD,Rockville,1124,456,2467526.31000000,3922.184478515027
total_drug_cost,1508184953,NICHOLAS LANCIANO,Student in an Organized Health Care Education/Training Program,PA,Johnstown,14928,2712,8085475.67000000,3917.084085111618
total_drug_cost,1629021233,BASSAM AL HOMSI,Emergency Medicine Physician,NM,Deming,465,200,2891718.11000000,3903.506530147434
total_drug_cost,1811050339,CAI GLUSHAK,Emergency Medicine Physician,IL,Chicago,2986,1493,2427796.31000000,3880.536776576833
total_drug_cost,1467569822,ANTHONY OLIVA,Hospitalist Physician,TX,San Antonio,1075,625,50570817.90000000,3789.087795712006
total_drug_cost,1033561253,CATHARINE SKOOG,Physician Assistant,WI,Milwaukee,3244,1862,14602000.22000000,3746.130176436014
total_drug_cost,1457606444,ALEX GONZALEZ BOSSOLO,Student in an Organized Health Care Education/Training Program,PR,San Juan,3496,215,5044721.26000000,3719.018186706750
total_drug_cost,1457556383,ROMY ARANGUIZ,Student in an Organized Health Care Education/Training Program,FL,Fort Myers,19042,2682,7373841.61000000,3684.487525393997
total_drug_cost,1154732436,MARCUM COLLINS,Student in an Organized Health Care Education/Training Program,TN,Knoxville,5929,978,7449520.88000000,3675.492805179175
total_drug_cost,1134378615,RYAN STEVENSON,Student in an Organized Health Care Education/Training Program,MA,Boston,14128,1958,5145747.65000000,3673.677658311234
total_drug_cost,1326166257,NIRMAL KAUR,Student in an Organized Health Care Education/Training Program,MI,Detroit,10231,2109,5200852.52000000,3604.087912212015
total_drug_cost,1063743722,DHAVAL SHAH,Student in an Organized Health Care Education/Training Program,DE,Newark,919,140,2944237.57000000,3522.673332860210
total_drug_cost,1962686030,STANLEY BOUCREE,Dentist,MD,Silver Spring,1892,692,499367.20000000,3508.523428701678
total_drug_cost,1891734430,THAYAPARAN MATHANAKARAN,Emergency Medicine Physician,NY,Olean,4319,1795,2380174.00000000,3474.580305331861
total_drug_cost,1184958415,ANNE MARIE HOLLY,Physician Assistant,NY,Rochester,14666,6059,16822028.57000000,3395.902666868231
