state,n_providers,flagged_mad,flagged_zscore,pct_flagged_mad,pct_flagged_zscore,total_part_d_spend,total_part_b_spend
AA,108,0,0,0.00,0.00,3649,
AE,2348,0,0,0.00,0.00,2135329,1305601
AK,26576,675,250,2.54,0.94,180387538,109744881
AL,64279,4842,2026,7.53,3.15,3876142425,884830319
AP,1657,0,0,0.00,0.00,1656184,1220040
AR,64031,2804,1211,4.38,1.89,1890162960,636823799
AZ,122043,7739,3050,6.34,2.50,3711106206,2368843402
BAJA CALIFORNIA,85,0,0,0.00,0.00,,
CA,947230,33791,13204,3.57,1.39,20697170501,8279386604
CO,143307,6422,2103,4.48,1.47,2395154826,956533219
CT,79687,4999,2174,6.27,2.73,2930078073,714613790
DC,43885,928,378,2.11,0.86,384879596,167425277
DE,18791,1000,445,5.32,2.37,519577749,272906782
FL,461611,27133,10293,5.88,2.23,15358624257,7129404846
GA,162695,10686,4091,6.57,2.51,6625418989,1758780375
GU,235,0,0,0.00,0.00,2410923,2781664
HI,29535,1056,491,3.58,1.66,611140539,139023465
IA,45152,3177,1451,7.04,3.21,1718138807,539436017
ID,30229,1663,802,5.50,2.65,782861726,205979613
IL,234431,14470,4726,6.17,2.02,6899515083,2889125038
IN,115130,7078,2841,6.15,2.47,4697533459,1174889056
KS,51418,3224,1233,6.27,2.40,1629917275,663356768
KY,83313,5245,2218,6.30,2.66,3646133428,742748668
LA,88069,5863,2294,6.66,2.60,3444776637,802801926
MA,213539,10502,4357,4.92,2.04,5366062047,1757988246
MD,151749,6720,2561,4.43,1.69,2876619443,2075677023
ME,31289,1970,805,6.30,2.57,977486979,165028865
MI,276583,12431,4460,4.49,1.61,7073975137,1549842820
MN,127617,7002,2957,5.49,2.32,2870626010,783402036
MO,107756,7057,2619,6.55,2.43,4357884404,1095937518
MS,37783,3022,1127,8.00,2.98,1964170290,668685971
MT,19828,1086,565,5.48,2.85,419756462,162852582
NC,192792,13511,5117,7.01,2.65,7440831259,1958704967
ND,19991,842,355,4.21,1.78,303486397,105030347
NE,72462,2128,842,2.94,1.16,1114188136,423955543
NH,30597,1725,773,5.64,2.53,760527128,244495081
NJ,160084,9293,4218,5.81,2.63,5778107339,2840591956
NM,53012,1761,661,3.32,1.25,801915901,246545796
NV,95546,2750,1047,2.88,1.10,1299736818,675493731
NY,537247,28528,10149,5.31,1.89,17204581006,5385188066
OH,326899,14504,5317,4.44,1.63,8261445638,1803159137
OK,88183,3536,1347,4.01,1.53,2334994332,785311744
ONTARIO,69,0,0,0.00,0.00,622794,2634
OR,121279,4779,2091,3.94,1.72,2035707123,530187682
PA,254748,17820,6324,7.00,2.48,10094658393,2902774800
PR,37419,2257,968,6.03,2.59,2346028400,34527458
RI,23008,1309,564,5.69,2.45,613526700,162009022
SC,82034,5769,2451,7.03,2.99,3667890446,1342999739
SD,15322,1046,461,6.83,3.01,412168102,148292064
TN,120885,8577,3145,7.10,2.60,5207212460,1580084241
TX,422155,26521,9459,6.28,2.24,14568568708,5237639309
UT,73701,2868,1116,3.89,1.51,1009377935,378914270
VA,143865,9037,3446,6.28,2.40,4042147202,2048282456
VI,96,0,0,0.00,0.00,,517304
VT,13394,569,326,4.25,2.43,299044367,66506760
WA,198443,8084,3067,4.07,1.55,3229198582,1138297422
WI,110177,6837,2718,6.21,2.47,3533553378,720167777
WV,75390,2130,848,2.83,1.12,1306202410,241976175
WY,11939,434,224,3.64,1.88,133231924,83137468
